Criterio Gastos;Criterio ingresos Edison;Fecha;Prestador Servicio;  Labor  ; Clasificaci„n Labores ;  Tractor ;  Lugar  ;  Cultivo  ;  Sector  ;  Orden/report  ;  Chofer  ;  Tractor  ;  Producto  ;  Veces  ;Cantidad;  Unid.  ;  Unitario  ;  Neto  ;  iva  ;  Total  ;  A Empresa  ;  Factura  ; Factura ;
  P.T.ALLENDE ExternoExternoRastraje ; Brice_oExternoExternoRastraje ;11-02-16;Brice_o;  Rastraje  ;Rastraje;; Externo ; Externo ;;;;;;;4;  Hrs  ;17.000;68.000;12.920;80.920;  P.T.ALLENDE  ;;;
  P.T.ALLENDE ExternoExternoRastraje ; Brice_oExternoExternoRastraje ;12-02-16;Brice_o;  Rastraje  ;Rastraje;; Externo ; Externo ;;;;;;;8;  Hrs  ;17.000;136.000;25.840;161.840;  P.T.ALLENDE  ;;;
  P.T.ALLENDE ExternoExternoRastraje ; Brice_oExternoExternoRastraje ;15-02-16;Brice_o;  Rastraje  ;Rastraje;; Externo ; Externo ;;;;;;;7,5;  Hrs  ;17.000;127.500;24.225;151.725;  P.T.ALLENDE  ;;;
  P.T.ALLENDE ExternoExternoRastraje ; Brice_oExternoExternoRastraje ;15-02-16;Brice_o;  Rastraje  ;Rastraje;; Externo ; Externo ;;;;;;;14;  Ha  ;24.500;343.000;65.170;408.170;  P.T.ALLENDE  ;;;
  Massai La FortunaApioAplic. Pesticidas ; Brice_oLa FortunaApioAplic. Pesticidas ;23-06-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; La Fortuna ; Apio ;;;;;  Tilt/buldock/coron/trainer/break  ;;2,5;  Ha  ;20.000;50.000;9.500;59.500;  Massai  ;;;
  Massai San JorgeColiflorAplic. Pesticidas ; Brice_oSan JorgeColiflorAplic. Pesticidas ;28-06-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; San Jorge ; Coliflor ;;;;;  Buldock/tilt/coron/trainer/break  ;;0,2;  ha  ;20.000;3.800;722;4.522;  Massai  ;;;
  Massai La FortunaApioAplic. Pesticidas ; Brice_oLa FortunaApioAplic. Pesticidas ;01-07-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; La Fortuna ; Apio ;;;;;  Centurion  ;;2,5;  Ha  ;20.000;50.000;9.500;59.500;  Massai  ;;;
  Massai San JorgeApioAplic. Herbicida ; Brice_oSan JorgeApioAplic. Herbicida ;04-07-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; San Jorge ; Apio ;;;;;  Linurex  ;;16,5;  Ha  ;20.000;330.000;62.700;392.700;  Massai  ;;;
  Massai La FortunaApioAplic. Herbicida ; Brice_oLa FortunaApioAplic. Herbicida ;04-07-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; La Fortuna ; Apio ;;1;;;  Linurex  ;;2,5;  Ha  ;20.000;50.000;9.500;59.500;  Massai  ;;;
  Massai La FortunaApioAplic. Herbicida ; Brice_oLa FortunaApioAplic. Herbicida ;04-07-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; La Fortuna ; Apio ;;;;;  Linurex  ;;2;  Ha  ;20.000;40.000;7.600;47.600;  Massai  ;;;
  Massai Casta_o 1 ApioSiembra/Plantacion ; Brice_oCasta_o 1 ApioSiembra/Plantacion ;08-07-16;Brice_o;  Cosecha  ;Siembra/Plantacion;; Casta_o 1  ; Apio ;;;;;;;1126,5;  Bins  ;1.500;1.689.750;321.053;2.010.803;  Massai  ;9;9;
  Massai La FortunaApioCultivar ; Brice_oLa FortunaApioCultivar ;08-07-16;Brice_o;  Cultivar  ; Cultivar ;; La Fortuna ; Apio ;;;;;  Etapa 2  ;;2,5;  Ha  ;25.000;62.500;11.875;74.375;  Massai  ;;;
  Massai Casta_o 1 ColiflorAplic. Pesticidas ; Brice_oCasta_o 1 ColiflorAplic. Pesticidas ;10-07-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; Casta_o 1  ; Coliflor ;;;;;;;2;  Ha  ;20.000;40.000;7.600;47.600;  Massai  ;;;
