Fecha ;Nç;T.DOC.;Proveedor;Item;ClasificaciÜn Gastos;Lugar;Cultivo/Unidad;ClasificaciÜn Cultivo; Nç ; Cantidad ; Unit. ; Neto ; IVA ; IEF ; IEV/FEP ; Total ; Empresa ; REAL ; Estado 1 ; Comp /cheque ;Fecha ;Monto
04-01-16;2779137;Fact;Copeval;success;Bodega;;Bodega;Bodega;;5;280.118;1.400.589;266.112;;;1.666.701;Massai;Massai;;;;
04-01-16;2779144;Fact;Copeval;Break/citroliv/cantus/stroby/mospilan;Bodega;;Bodega;Bodega;;1;2.939.890;2.939.890;558.579;;;3.498.469;Massai;Massai;;;;
09-01-16;2779240;Fact;Copeval;Nitrato de Magnesio/Ac. Fosforico;Bodega;;Bodega;Bodega;;1;375.375;375.375;71.321;;;446.696;Gonzalez ;Valcam;pagada;;17-08-17;
10-01-16;2043;Fact;Stihl;Reparacion Maq;Bodega;;Bodega;Bodega;;1;29.663;29.663;5.636;;;35.299;Massai;Massai;;;;
26-01-16;6032;Fact;Agrodistribuidores Ltda ;plantas de Brocoli;Semillas, plantas;San Jorge;Brocoli;BrÜcoli 16;;5.000;29;145.000;27.550;;;172.550;Brice_o;Sandro;;;;
31-05-16;10810;Fact;Agroalmar;Copla conectores;Materiales de Riego;San Jorge;Apio 17;Apio 17;;1;97.500;97.500;18.525;;;116.025;Massai;Massai;;;;
29-10-16;134589;Fact;Maderas Orellana;Polines Alambre Pua Grampas;Bodega;;Bodega;Bodega;;;;;;;; ;;;;;;
15-11-16;10061;Guêa ;Semilla de Los Andes;Plantulas;Semillas, plantas;Catemu;Marigold;Flores 17;;16.200;;;;;;;Valcam;Ventura;;;;
21-12-16;31282;Fact;agrium chile sa;Command;Bodega;San Jorge;Aji 17;Bodega;;6;53.094;318.566;60.528;;;379.094;massai;massai;;;;
22-12-16;5576;Fact;agroalmar;Pegamento huincha;Bodega;;Bodega;Bodega;;1;6.488;6.488;1.233;;;7.721;Massai;Massai;;;;
28-12-16;4940;Fact;Juan Bas Alimentos s.a;Plantulas;Semillas, plantas;San Jorge;Aji 17;Ajê 17;Aji ug15505;411.553;17;7.066.365;1.342.609;;;8.408.974;Valcam;Valcam;;;;
28-12-16;4941;Fact;Juan Bas Alimentos s.a;Plantulas;Semillas, plantas;San Jorge;Aji 17;Ajê 17;Aji ug604;66.000;16;1.026.300;194.997;;;1.221.297;Valcam;Valcam;;;;
28-12-16;4942;Fact;Juan Bas Alimentos s.a;Plantulas;Semillas, plantas;San Jorge;Aji 17;Ajê 17;;480.578;11;5.286.358;1.004.408;;;6.290.766;Valcam;Valcam;;;;
28-12-16;4947;Fact;Juan Bas Alimentos s.a;Plantulas;Semillas, plantas;San Jorge;Aji 17;Ajê 17;;49.816;16;797.056;151.441;;;948.497;Valcam;Valcam;;;;
28-12-16;4943;Fact;Juan Bas Alimentos s.a;Plantulas;Semillas, plantas;San Jorge;Aji 17;Ajê 17;Aji ug15505;669.683;17;11.498.457;2.184.707;;;13.683.164;Massai;Massai;;;;
28-12-16;4944;Fact;Juan Bas Alimentos s.a;Plantulas;Semillas, plantas;San Jorge;Aji 17;Ajê 17;Aji px209;300.000;22;6.459.000;1.227.210;;;7.686.210;Massai;Massai;;;;
28-12-16;4948;Fact;Juan Bas Alimentos s.a;Plantulas;Semillas, plantas;San Jorge;Aji 17;Ajê 17;;1.130.561;11;12.436.171;2.362.872;;;14.799.043;Massai;Massai;;;;
28-12-16;27042;Fact;Centauro;Plantulas;Semillas, plantas;LLay llay;Tomate;Tomate 17;;1;17.615.136;17.615.136;3.346.876;;;20.962.012;Brice_o;Valcam;;;;
29-12-16;6;Fact;Nelson Zamora;Kale;Comercializadora;;Kale;Kale 17;;302.543;150;45.381.450;8.622.476;;;54.003.926;Valcam;Valcam;;;;
29-12-16;41531;Guêa ;Europlant;Plantulas;Semillas, plantas;LLay llay;Brocoli;BrÜcoli 17;;101.347;;;;;;;Diana;Valcam;;;;
29-12-16;14373253;Fact;Easy;Soldadura lija pino;Materiales;ALLENDE;Maquinaria;Maquinaria;;1;6.437;6.437;1.223;;;7.660;Massai;Massai;;;;
29-12-16;527;Fact;Diana Naturals;Plantulas;Semillas, plantas;San Jorge;Brocoli;BrÜcoli 17;;92.781;21;1.948.401;370.196;;;2.318.597;Valcam;Valcam;;;;
29-12-16;528;Fact;Diana Naturals;Plantulas;Semillas, plantas;San Jorge;Brocoli;BrÜcoli 17;;101.347;21;2.128.287;404.375;;;2.532.662;Valcam;Valcam;;;;
31-12-16;189;Fact;Trasp. Gina Perez eirl;Viajes;Traslados/Fletes;;Kale;Kale 17;;9;300.000;2.700.000;513.000;;;3.213.000;Valcam;Valcam;;;;
31-12-16;9;Fact;Juan Gonzalez;Kale;Comercializadora;;Kale;Kale 17;;1;52.378.875;52.378.875;9.951.986;;;62.330.861;Valcam;Valcam;;;;
01-01-17;133816;Fact;Massai;Nitrato de K/ TUBURON/MALLAS;Bodega;San Jorge;Bodega;Bodega;;1;; -   ; -   ;;; -   ;Massai;Massai;pagada;;;
03-01-17;41552;Guêa ;Europlant;Plantulas;Semillas, plantas;San Jorge;Colchina;Colchina 17;;122.506;;;;;;;Diana;Valcam;;;;
03-01-17;41552;Guêa ;Diana Naturals;Plantulas;Semillas, plantas;Catemu;Colchina;Colchina 17;;122.506;; -   ; -   ;;; -   ;Diana;Valcam;;;;
03-01-17;1014;Fact;David villarroel Arancibia;Flete;Traslados/Fletes;LLay llay;Maquinaria;Maquinaria;;1;80.000;80.000;15.200;;;95.200;Brice_o;Brice_o;Pagado;3008;06-03-17;
03-01-17;54;Fact;David villarroel Arancibia;Fletes desde pocochay llay llay un tractor y de retorno de llay llay a pocochay un tractor y arado cincel ;Traslados/Fletes;San Jorge;Maquinaria;Maquinaria;;;;70.000;13.300;;;83.300;Valcam ;Valcam;A pago 04-01;;;
04-01-17;127;Fact;Sport Club;Almuerzo;Gastos de RepresentaciÜn;San Jorge;AdministraciÜn;AdministraciÜn;;1;45.798;45.798;8.702;;;54.500;Massai;Massai;;;;
04-01-17;2779143;Fact;Copeval;Linurex;Bodega;;Bodega;Bodega;;15;13.467;202.008;38.382;;;240.390;Massai;Massai;;;;
04-01-17;2779142;Fact;Copeval;Centurion;Bodega;;Bodega;Bodega;;1;20.874;20.874;3.966;;;24.840;Massai;Massai;;;;
04-01-17;2779117;Fact;Copeval;Disco Perno;Repuestos;LLay llay;Maquinaria;Maquinaria;;1;157.810;157.810;29.984;;;187.794;Gonzalez ;P. Henriquez;;;;
05-01-17;6680;Fact;RETRAC;prensa/disco/rodam/term/solen/reten;Repuestos;San Jorge;Maquinaria;Maquinaria;;1;553.380;553.380;105.142;;;658.522;Gonzalez ;Brice_o;pagada ;;;
05-01-17;2779176;Fact;Copeval;karate zeon;Bodega;;Bodega;Bodega;;5;34.900;174.500;33.155;;;207.655;Gonzalez ;Valcam;pagada;;17-08-17;
05-01-17;1987471;Guia ;Copeval;Disco Arado perno;Repuestos;LLay llay;Maquinaria;Maquinaria;;1;187.794;187.794;35.681;;;223.475;Gonzalez ;P. Henriquez;;;;
06-01-17;458320;Fact;GMT;Acido Fosforico;Bodega;;Bodega;Bodega;;350;680;238.000;45.220;;;283.220;Massai;Massai;;;;
06-01-17;458339;Fact;GMT;Terrasorb Foliar;Bodega;;Bodega;Bodega;;40;3.865;154.607;29.375;;;183.982;Massai;Massai;;;;
06-01-17;1015;Fact;David villarroel Arancibia;flete;Traslados/Fletes;LLay llay;Maquinaria;Maquinaria;;1;70.000;70.000;13.300;;;83.300;Valcam;Valcam;Pagado;3008;06-03-17;
06-01-17;4923770;Fact;Chilquinta;Energia;Electricidad;San Jorge;AdministraciÜn;AdministraciÜn;;;;585.088;111.167;;;1.324.973;Massai;Massai;;;;
06-01-17;6129;Fact;Agrodistribuidores Ltda ;auxym;Bodega;;Bodega;Bodega;;10;33.800;338.000;64.220;;;402.220;Brice_o;Valcam;Pagada;;;
08-01-17;17;Fact;trasnsbruno spa;Viajes;Traslados/Fletes;LLay llay;Kale;Kale 17;;10;300.000;3.000.000;570.000;;;3.570.000;Valcam;Valcam;Pagada;;;
09-01-17;1322;Fact;maderas central;Malla/clavos;Bodega;San Jorge;Bodega;Bodega;;1;19.370;19.370;3.680;;;23.050;Massai;Massai;;;;
09-01-17;1128;Fact;Bertero;Reparacion ;MantenciÜn/ReparaciÜn;San Jorge;Maquinaria;Maquinaria;;1;12.605;12.605;2.395;;;15.000;Brice_o;Brice_o;;;;
10-01-17;458585;Fact;GMT;STIMULATE;Bodega;;Bodega;Bodega;;9;36.151;325.362;61.819;;;387.181;Massai;Massai;;;;
10-01-17;458584;Fact;GMT;nk y Sulf. De Zinc;Bodega;;Bodega;Bodega;;1.775;;1.113.775;211.617;;;1.325.392;Massai;Massai;;;;
10-01-17;1016;Fact;David villarroel Arancibia;Fletes;Traslados/Fletes;LLay llay;Maquinaria;Maquinaria;;1;70.000;70.000;13.300;;;83.300;Valcam;Brice_o;Pagado;3008;06-03-17;
10-01-17;2779258;Fact;Copeval;mz maiz;Bodega;;Bodega;Bodega;;0,4;282.000;112.800;21.432;;;134.232;Gonzalez ;Valcam;pagada;;17-08-17;
12-01-17;20643118;Fact;Entel;Servicios;Telefonêa/Internet;San Jorge;AdministraciÜn;AdministraciÜn;;1;243.678;243.678;46.299;;;289.977;Valcam;Valcam;Pagada;;;
12-01-17;1017;Fact;David villarroel Arancibia;Fletes;Traslados/Fletes;LLay llay;Maquinaria;Maquinaria;;1;80.000;80.000;15.200;;;95.200;Valcam;Brice_o;Pagado;3008;06-03-17;
12-01-17;2779316;Fact;Copeval;Pyrinex;Bodega;;Bodega;Bodega;;20;4.450;89.000;16.910;;;105.910;Gonzalez ;Valcam;pagada;;17-08-17;
13-01-17;2898744;Fact;Sergo chile;Chaveta Universal;Repuestos;San Jorge;Maquinaria;Maquinaria;;20;496;9.920;1.885;;;11.805;Brice_o;Brice_o;pagada;;;
13-01-17;2779328;Fact;Copeval;Azufre Flo;Bodega;San Jorge;Bodega;Bodega;;60;1.600;96.000;18.240;;;114.240;Gonzalez ;Valcam;pagada;;17-08-17;
13-01-17;70;guia;aquasystems;Cinta de riego;Bodega;;Bodega;Bodega;;32.400;34;1.101.600;209.304;;;1.310.904;Valcam;Valcam;PAGADA;;;
14-01-17;2779373;Fact;Copeval;Galigan/Belt;Bodega;San Jorge;Bodega;Bodega;;1;316.580;316.580;60.150;;;376.730;Gonzalez ;Valcam;pagada;;17-08-17;
16-01-17;311;Fact;Francisco Gomez;Reparaciones Varias;MantenciÜn/ReparaciÜn;San Jorge;Maquinaria;Maquinaria;;1;376.400;376.400;71.516;;;447.916;brice_o;Brice_o;pagada;;;
16-01-17;7752;Guêa ;Europlant;Plantulas;Semillas, plantas;LLay llay;Colchina;Colchina 17;;110.808;10;1.108.080;210.535;;;1.318.615;INVERTEC;Valcam;;;;
16-01-17;2779399;Fact;copeval;Descanso Rastra;Repuestos;LLay llay;Maquinaria;Maquinaria;;1;378.300;378.300;71.877;;;450.177;Gonzalez ;P. Henriquez;;;;
17-01-17;no visible;Guia ;tattersall;tango/troya/retanol/nitro 25/dimetoato/cytoplant/balazo/clorotalonil/propizol;Bodega;San Jorge;Apio 17;Apio 17;;;;;;;;;INVERTEC;Valcam;;;;
17-01-17;398971;Guia ;tattersall;tango/troya/retanol/nitro 25/dimetoato/cytoplant/balazo/clorotalonil/propizol;Bodega;San Jorge;Apio 17;Apio 17;;;;;;;;;INVERTEC;Valcam;;;;
17-01-17;398969;Guia ;tattersall;tango/troya/retanol/nitro 25/dimetoato/cytoplant/balazo/clorotalonil/propizol;Bodega;San Jorge;Apio 17;Apio 17;;;;;;;;;INVERTEC;Valcam;;;;
17-01-17;133597;guia;massai;Vertimec;Bodega;San Jorge;Marigold;Flores 17;;;;;;;;;Massai;Massai;;;;
17-01-17;133596;Guia ;massai;Mancoceb/nutrifert ca y zn);Bodega;San Jorge;Aji 17;Ajê 17;;;;;;;;;Massai;Massai;;;;
17-01-17;458900;Fact;gmt;urea;Bodega;San Jorge;Bodega;Bodega;;1.450;227;329.150;62.539;;;391.689;massai;massai;;;;
17-01-17;1179;Fact;bertero;reparacion;MantenciÜn/ReparaciÜn;San Jorge;Maquinaria;Maquinaria;;1;29.412;29.412;5.588;;;35.000;Brice_o;Brice_o;pagada;;;
18-01-17;133601;Guia ;massai;Succues/vertimec/afalon/centurion/engeo/karate/selecron/shirlan/break/cantus/stroby/mospilan;Bodega;San Jorge;Bodega;Bodega;;;; -   ; -   ;;; -   ;massai;massai;;;;
19-01-17;458998;Fact;gmt;nitrato de calcio;Bodega;;Bodega;Bodega;;1.150;232;;;;;;;;;;;
19-01-17;7770;Guêa ;Europlant;Plantulas;Semillas, plantas;LLay llay;Colchina;Colchina 17;;110.808;10;1.108.080;210.535;;;1.318.615;INVERTEC;Valcam;;;;
19-01-17;2779457;Fact;Copeval;mz maiz;Bodega;ALLENDE;Bodega;Bodega;;10;269.000;2.690.000;511.100;;;3.201.100;Gonzalez ;Valcam;;;;
19-01-17;2182;Guia ;Com. Rosati;Diesel ;Combustible y Lubricantes;San Jorge;Maquinaria ;Maquinaria;;;;20.992;3.988;;3.682;28.662;brice_o;Brice_o;;;;
20-01-17;133623;Fact;massai;urea;Bodega;;Bodega;Bodega;;700;;;;;;;;;;;;
20-01-17;82;Fact;Maestranza La Palma;Reparacion;MantenciÜn/ReparaciÜn;San Jorge;Maquinaria;Maquinaria;;1;279.000;279.000;53.010;;;332.010;Brice_o;Brice_o;pagada;;;
20-01-17;2779505;Fact;copeval;betanal;Bodega;;Bodega;Bodega;;20;35.600;712.000;135.280;;;847.280;Gonzalez ;Valcam;pagada;;17-08-17;
20-01-17;62144;Fact;Com. Bella palma;Diesel;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria;;1.000;383;383.283;72.824;;47.890;503.997;Brice_o;Brice_o;pagada;;;
21-01-17;148933;NC;Sergo;basagran;Bodega;;Bodega;Bodega;;13;14.950;194.350;36.927;;;231.277;Gonzalez ;Valcam;;;;
21-01-17;313;Fact;Laboquimterra;Analisis;An_lisis de Laboratorio;San Jorge;soya;soya 17;;2;25.500;51.000;9.690;;;60.690;Massai;Massai;pagada;;;
23-01-17;7777;Guêa ;Europlant;Plantulas;Semillas, plantas;LLay llay;Apio 17;Apio 17;;300.154;10;3.001.540;570.293;;;3.571.833;INVERTEC;Valcam;;;;
24-01-17;133645;Guia ;massai;uan 32/coron/faRMON/MOSPILAN;Bodega;San Jorge;Bodega;Bodega;;;;;;;;;Massai;Massai;;;;
