Bodega;PRODUCTO;CLASIFICACION;ING. ACTIVO;Fecha Ingreso;Cantidad;n¡ Guia;Saldo;Unid.;Fechas Salida;Cantidad;Saldo;Empresa;Lugar;Cultivo;Sector; N¡ Guia  ; Valor Unit ; $ salida ; $ stock ;X;
San Jorge;ABAMECTINA;Insecticidas;;;;;;;08-03-18;2;;Ventura ;Catemu 1;Apio 18;;;;;;;
San Jorge;Acoidal;Fungicidas;azufre;16-12-16;25;;;kg;17-12-16;25;0;Valcam;Llay Llay;Tomate 17;;;1210;30250; - ;;
San Jorge;Acoidal;Fungicidas;azufre;30-12-16;75;;75;kg;30-12-16;50;25;Valcam;Llay Llay;Tomate 17;;;1210;60500;30.250;;
San Jorge;Acoidal;Fungicidas;azufre;;;;25;kg;30-12-16;25;0;Valcam;Catemu;Tomate;;;1210;30250; - ;;
San Jorge;Acoidal;Fungicidas;azufre;09-01-18;25;732197;25;kg;09-01-18;25;0;Valcam ;Llay Llay;Tomate 18;;661;1210;30250; - ;0;
San Jorge;Acoidal flo;Fungicidas;azufre;08-01-18;10;3136627;10;lts;08-01-18;10;0;Valcam ;Llay Llay;Tomate 18;;658;1210;12100; - ;0;
San Jorge;Actara;Acaricidas;;29-08-16;1;;;lts;30-08-16;0,03;0,97;Valcam;Llay Llay;Kale 17;;;188750;5662,5;183.088;;
San Jorge;Actara;Acaricidas;;;;;0,97;Kg;01-09-16;0,015;0,955;Valcam;Llay Llay;Kale 17;;;188750;2831,25;180.256;;
San Jorge;Actara;Acaricidas;;;;;0,955;Kg;31-01-17;0,36;0,595;Valcam;San Jorge;flores;;;188750;67950;112.306;;
San Jorge;Actara;Acaricidas;;;;;0,595;kg;;0,595;0;Massai;Prestamo ;;;;188750;112306,25; - ;0;
San Jorge;Afalon;Herbicidas;;05-01-00;60;;60;lts;17-07-17;0,65;59,35;Valcam;Poncho Celeste;Apio 17;;;14046;9.130;833.630;;
San Jorge;Afalon;Herbicidas;;;;;59,35;lts;24-07-17;7;52,35;Valcam;Catemu;Apio 17;;;14046;98.322;735.308;;
San Jorge;Afalon;Herbicidas;;;;;52,35;lts;29-07-17;2;50,35;Marco Arangue;Raut_n;Apio 17;;;14046;28.092;707.216;;
San Jorge;Afalon;Herbicidas;;;;;50,35;lts;31-07-17;2;48,35;valcam;Llay Llay;Flores 18;;;14046;28.092;679.124;;
San Jorge;Afalon;Herbicidas;;;;;48,35;lts;02-08-17;2;46,35;Ventura ;Catemu;Apio 17;;;14046;28.092;651.032;;
San Jorge;Afalon;Herbicidas;;;;;46,35;lts;03-08-17;3;43,35;Victor Collao;Hijuelas;Apio 17;;;14046;42.138;608.894;;
San Jorge;Afalon;Herbicidas;;;;;43,35;lts;10-08-17;6;37,35;Ricardo Vasquez;Catemu;Apio 17;;;14046;84.276;524.618;;
San Jorge;Afalon;Herbicidas;;;;;37,35;lts;14-08-17;10;27,35;valcam;Catemu;Apio 17;;;14046;140.460;384.158;;
San Jorge;Afalon;Herbicidas;;;;;27,35;lts;24-08-17;2;25,35;valcam;Llay Llay;Flores 18;;;14046;28.092;356.066;;
San Jorge;Afalon;Herbicidas;;;;;25,35;lts;02-09-17;1,85;23,5;valcam;Llay Llay;Flores 18;;;14046;25.985;330.081;;
San Jorge;Afalon;Herbicidas;;;;;23,5;lts;04-10-17;3;20,5;Ricardo Vasquez;Catemu;Apio 17;;;14046;42.138;287.943;;
San Jorge;Afalon;Herbicidas;;;;;20,5;lts;19-10-17;2;18,5;Valcam;Llay Llay;Flores 18;;;14046;28.092;259.851;;
San Jorge;Afalon;Herbicidas;;;;;18,5;lts;23-10-17;0,5;18;Valcam;Collao;Marigold;;;14046;7.023;252.828;;
San Jorge;Afalon;Herbicidas;;;;;18;lts;14-11-17;1;17;Valcam ;Llay Llay;Flores 18;;;14046;14.046;238.782;;
San Jorge;Afalon;Herbicidas;;;;;17;lts;04-12-17;4;13;Juan Gonzalez;San Pedro;Apio 18;;353;14046;56.184;182.598;;
San Jorge;Afalon;Herbicidas;;;;;13;lts;07-12-17;4;9;Ventura ;Catemu;Apio 18;;367;14046;56.184;126.414;;
San Jorge;Afalon;Herbicidas;;;;;9;lts;18-12-17;5;4;Ventura ;Catemu;Apio 18;;382;14046;70.230;56.184;;
San Jorge;Afalon;Herbicidas;;;;;4;lts;19-12-17;1;3;Juan Gonzalez;San Pedro;Apio 18;;319;14046;14.046;42.138;;
San Jorge;Afalon;Herbicidas;;;;;3;lts;20-12-17;3;0;Valcam ;Llay Llay;Apio 18;;325;14046;42.138; - ;0;
San Jorge;Amistar opti;Fungicidas;clorotalonilo/azoxistrobina;16-12-16;60;;;lts;;;60;;;;;;23514;0;1.410.840;;
San Jorge;Amistar opti;Fungicidas;clorotalonilo/azoxistrobina;25-03-17;21;;81;lts;16-05-17;9;72;Ventura ;Catemu;Apio 17;;;23514;211626;1.693.008;;
San Jorge;Amistar opti;Fungicidas;clorotalonilo/azoxistrobina;;;;72;lts;31-05-17;0,375;71,625;Valcam;Pocochay;Lavanda;;;23514;8817,75;1.684.190;;
San Jorge;Amistar opti;Fungicidas;clorotalonilo/azoxistrobina;;;;71,625;lts;16-08-17;0,15;71,475;;;;;;23514;3527,1;1.680.663;;
San Jorge;Amistar opti;Fungicidas;clorotalonilo/azoxistrobina;;;;71,475;lts;15-01-18;9;62,475;Valcam ;Llay Llay;Ma’z 18;;388;23514;211626;1.469.037;;
San Jorge;Amistar opti;Fungicidas;clorotalonilo/azoxistrobina;;;;62,475;lts;18-01-18;4;58,475;Valcam ;Llay Llay;Cebolla 18;;392;23514;94056;1.374.981;;
San Jorge;Amistar opti;Fungicidas;clorotalonilo/azoxistrobina;;;;58,475;lts;31-01-18;2;56,475;Valcam;Collao;Maiz;;603;23514;47028;1.327.953;x;
San Jorge;Aliette;Fungicidas;fosetil de aluminio;01-09-17;1;;1;kg;02-09-17;0,075;0,925;valcam;Collao;flores;;;32110;29701,75;29.702;;
San Jorge;Aliette;Fungicidas;fosetil de aluminio;;;;0,925;kg;14-09-17;0,075;0,85;valcam;Collao;flores;;;32110;27293,5;27.294;;
San Jorge;Aliette;Fungicidas;fosetil de aluminio;;;;0,85;kg;26-10-17;0,12;0,73;Valcam;Collao;Gazania;;;32110;23440,3;23.440;;
San Jorge;Aliette;Fungicidas;fosetil de aluminio;;;;0,73;kg;07-11-17;0,015;0,715;Valcam ;Collao;Gazania;;;32110;22958,65;22.959;;
San Jorge;Aliette;Fungicidas;fosetil de aluminio;;;;0,715;kg;14-11-17;0,015;0,7;Valcam ;Collao;Flores;;;32110;22477;22.477;;
San Jorge;Aliette;Fungicidas;fosetil de aluminio;;;;0,7;kg;18-01-18;0,05;0,65;Valcam ;Collao;Celosia ;;396;32110;20871,5;20.872;;
San Jorge;Aliette;Fungicidas;fosetil de aluminio;;;;0,65;kg;30-01-18;0,065;0,585;Cuadratura bodega ;;P_rdida;;;;;;x;
San Jorge;Applaud;Insecticidas;;25-01-18;11;738971;11;kg;26-01-18;11;0;Valcam ;Llay Llay;Tomate 18;;695;25960;285560; - ;0;
San Jorge;Applaud;;;21-02-18;10;3221428;10;kg;21-02-18;10;0;Zamora Valcam;Olmu_;tomate;;;25960;;;0;
San Jorge;Atrazina;Herbicidas;;20-12-16;20;;20;lts;12-12-16;3,25;16,75;Valcam ;Collao;Maiz;;;;;;;
San Jorge;Atrazina;Herbicidas;;;;;16,75;lts;14-12-16;5;11,75;Zamora Valcam;Allende;Maiz;;;;;;;
San Jorge;Atrazina;Herbicidas;;;;;11,75;lts;28-10-17;1,6;10,15;Valcam ;Collao;Maiz;;;;;;;
San Jorge;Atrazina;Herbicidas;;;;;10,15;lts;01-11-17;3,12;7,03;Valcam ;Pocochay;Maiz;;;;;;;
San Jorge;Atrazina;Herbicidas;;;;;7,03;lts;01-11-17;2,5;4,53;Nelson Zamora;San Felipe;Maiz;;;;;;;
San Jorge;Atrazina;Herbicidas;;;;;4,53;lts;04-11-17;1,25;3,28;Nelson Zamora;Sta Olga;Maiz;;;;;;;
San Jorge;Atrazina;Herbicidas;;;;;3,28;lts;;3,28;0;Sacados sin anotar destino;;;;;;;;;
San Jorge;Atrazina;Herbicidas;;06-11-17;20;;20;lts;06-11-17;20;0;Massai;Devolucion;;;;;;;;
San Jorge;Atrazina;Herbicidas;;06-11-17;16,5;;16,5;lts;06-11-17;7,5;9;Valcam ;Llay Llay;Ma’z 18;;;;;;;
San Jorge;Atrazina;Herbicidas;;;;;9;lts;25-11-17;2;7;Valcam ;Olmu_;Maiz;;287;;;;;
San Jorge;Atrazina;Herbicidas;;;;;7;lts;28-11-17;4;3;Valcam ;Pocochay;Maiz;;291;;;;;
San Jorge;Atrazina;Herbicidas;;;8;;11;lts;28-11-17;1,7;9,3;Valcam ;Collao;Maiz;;291;;;;;
San Jorge;Atrazina;Herbicidas;;;;;9;lts;28-11-17;1,7;7,7;Valcam ;San Felipe;Maiz;;291;;;;;
San Jorge;Atrazina;Herbicidas;;;;;7,7;lts;28-11-17;1,7;6;Valcam ;Sta Olga;Maiz ;;291;;;;;
San Jorge;Atrazina;Herbicidas;;;;;6;lts;05-12-17;6;0;Valcam ;Llay Llay;Ma’z 18;;357;;;;0;
San Jorge;Asure;Insecticidas;;30-01-18;0,2;cuadratura bodega ;;lts;;;0,2;;;;;;24266;0;4.853;X;
San Jorge;Avaunt;Insecticidas;;13-02-17;3;;;kg;13-02-17;1,5;1,5;Valcam;Catemu;Brocoli;;;244000;366000;366.000;;
San Jorge;Avaunt;Insecticidas;;;;;1,5;kg;14-02-17;1,5;0;Valcam;Llay Llay;Colchina 17;;;244000;366000; - ;;
San Jorge;Avaunt;Insecticidas;;05-01-18;1,53;3136587/3136588;1,53;kg;;;1,53;;;;;;;;;;
San Jorge;Avaunt;Insecticidas;;;;;1,53;kg;30-01-18;1,53;0;Cuadratura bodega ;;P_rdida;;;;;;0;
San Jorge;Azufre Floable;Fungicidas;azufre;13-01-17;60;;60;lts;13-01-17;20;40;Valcam Zamora;Allende;Aj’ 17;;;1600;32000;64.000;;
San Jorge;Azufre Floable;Fungicidas;azufre;;;;40;lts;22-01-18;20;20;Valcam ;Llay Llay;Aj’ 18;;684;1600;32000;32.000;x;
San Jorge;Azufre Ventilado super ;;;13-12-17;200;711878;200;kg;03-01-18;150;50;Nelson Zamora;Olmu_;Aj’ 17;;651;8850;1327500;442.500;;
San Jorge;Azufre Ventilado super ;;;12-02-18;125;749923;125;kg;;;;;;;;;;;;;
San Jorge;Balazo;Insecticidas;;18-01-17;85;;;kg;10-02-17;1;84;Valcam;Poncho Celeste;Maravilla;;;1335;1335;112.140;;
San Jorge;Balazo;Insecticidas;;25-03-17;30;;114;kg;10-04-17;10;104;Calisario;Llay Llay;Flores 17;;;1335;13350;138.840;;
San Jorge;Balazo;Insecticidas;;;;;104;kg;05-08-17;26;78;Valcam;Llay Llay;Apio 17;;;1335;34710;104.130;;
San Jorge;Balazo;Insecticidas;;;;;78;kg;05-08-17;6;72;Ricardo Vasquez;Catemu;Apio 17;;;1335;8010;96.120;;
San Jorge;Balazo;Insecticidas;;;;;72;kg;07-08-17;0,5;71,5;Valcam;Collao;Apio 17;;;1335;667,5;95.453;;
San Jorge;Balazo;Insecticidas;;;;;71,5;kg;10-08-17;18;53,5;Valcam;Catemu;Apio 17;;;1335;24030;71.423;;
San Jorge;Balazo;Insecticidas;;;;;53,5;kg;21-08-17;3;50,5;Zamora Valcam;Pocochay;Apio 17;;;1335;4005;67.418;;
San Jorge;Balazo;Insecticidas;;;;;50,5;kg;23-08-17;0,5;50;valcam;Collao;Apio 17;;;1335;667,5;66.750;;
San Jorge;Balazo;Insecticidas;;;;;50;kg;29-08-17;15;35;valcam;Catemu;Apio 17;;;1335;20025;46.725;;
San Jorge;Balazo;Insecticidas;;;;;35;kg;05-09-17;7;28;valcam;Catemu;Apio 17;;;1335;9345;37.380;;
San Jorge;Balazo;Insecticidas;;;;;28;kg;13-09-17;5;23;Ricardo Vasquez;Catemu;Apio 17;;;1335;6675;30.705;;
San Jorge;Balazo;Insecticidas;;;;;23;kg;25-09-17;2;21;Calisario;Llay Llay;Apio 17;;;1335;2670;28.035;;
San Jorge;Balazo;Insecticidas;;27-09-17;5,8;;26,8;kg;27-09-17;2;24,8;Marco Arangue;Raut_n;Apio 17;;;1335;2670;33.108;;
San Jorge;Balazo;Insecticidas;;;;;24,8;kg;02-10-17;2,5;22,3;Victor Collao;Hijuelas;Apio 17;;;1335;3337,5;29.771;;
San Jorge;Balazo;Insecticidas;;;;;22,3;kg;02-10-17;17;5,3;Valcam;Catemu;Apio 17;;;1335;22695;7.076;;
San Jorge;Balazo;Insecticidas;;;;;5,3;kg;13-10-17;5;0,3;Ricardo Vasquez;Catemu;Apio 17;;;1335;6675;401;;
San Jorge;Balazo;Insecticidas;;04-11-17;2;;2,3;kg;10-11-17;2,3;0;Ricardo Vasquez;Catemu;Apio 17;;;1335;3070,5; - ;0;
San Jorge;Basagran;Herbicidas;;05-12-16;7;;7;lts;10-12-16;1;6;Valcam;Collao;Maiz;;;14950;14950;89.700;;
San Jorge;Basagran;Herbicidas;;;;;6;lts;14-12-16;4;2;Valcam;Allende;Maiz;;;14950;59800;29.900;;
San Jorge;Basagran;Herbicidas;;;;;2;lts;17-12-16;1;1;Valcam;Allende;Maiz;;;14950;14950;14.950;;
San Jorge;Basagran;Herbicidas;;13-06-17;1,5;;2,5;lts;25-11-17;2;0,5;Valcam ;Olmu_;Maiz;;287;14950;29900;7.475;;
San Jorge;Basagran;Herbicidas;;;;;0,5;lts;28-11-17;2,7;-2,166666667;Valcam ;Pocochay;Maiz;;291;14950;39866,66667;-32.392;;
San Jorge;Basagran;Herbicidas;;;;;-2,166666667;lts;28-11-17;1,1;-3,277777778;Valcam ;Collao;Maiz;;291;14950;16611,11111;-49.003;;
San Jorge;Basagran;Herbicidas;;;;;-3,277777778;lts;28-11-17;1,1;-4,388888889;Valcam ;San Felipe;Maiz;;291;14950;16611,11111;-65.614;;
San Jorge;Basagran;Herbicidas;;;;;-4,388888889;lts;28-11-17;1,1;-5,5;Valcam ;Sta Olga;Maiz;;291;14950;16611,11111;-82.225;;
San Jorge;Basagran;Herbicidas;;;;;-5,5;lts;05-12-17;6;-11,5;Valcam ;Llay Llay;Ma’z 18;;357;14950;89700;-171.925;;
San Jorge;Basagran;Herbicidas;;28-12-17;1;;-10,5;lts;28-12-17;1;-11,5;Massai;Prestamo ;;;;;;;;
San Jorge;Basagran;Herbicidas;;30-01-18;11,75;cuadratura bodega ;0,25;lts;;;0,25;;;;;;;;;x;
San Jorge;Belt;Insecticidas;;28-12-16;0,75;;0,75;lts;29-12-16;0,75;0;Valcam;Llay Llay;Tomate 17;;;46138;34603,5; - ;;
San Jorge;Belt;Insecticidas;;14-01-17;1;;1;lts;14-01-17;1;0;Valcam;Llay Llay;Tomate 17;;;46138;46138; - ;;
San Jorge;Belt;Insecticidas;;24-01-17;4;;4;lts;24-01-17;4;0;Valcam;Llay Llay;Tomate 17;;;46138;184552; - ;;
San Jorge;Belt;Insecticidas;;26-01-17;2;;2;lts;27-01-17;0,5;1,5;Valcam;Catemu;Colchina;;;46138;23069;69.207;;
San Jorge;Belt;Insecticidas;;;;;1,5;lts;27-01-17;0,5;1;Valcam;Catemu;Brocoli;;;46138;23069;46.138;;
San Jorge;Belt;Insecticidas;;;;;1;lts;01-02-17;0,75;0,25;Valcam;Llay Llay;Colchina 17;;;46138;34603,5;11.535;;
San Jorge;Belt;Insecticidas;;;;;0,25;lts;30-01-18;0,25;0;Cuadratura bodega ;;P_rdida;;;;;;x;
San Jorge;BECTRA;Insecticidas;;13-09-16;30;;;lts;13-09-16;25;5;Valcam;Llay Llay;Tomate 17;;;20272;506800;101.360;;
San Jorge;BECTRA;Insecticidas;;;;;5;lts;09-11-16;5;0;Valcam;Catemu;Tomate;;;35450;177250; - ;;
San Jorge;BECTRA;Insecticidas;;28-11-16;2;;;lts;07-12-16;2;0;Valcam;Catemu;Tomate;;;35450;70900; - ;;
San Jorge;BECTRA;Insecticidas;;22-09-17;20;;20;lts;23-09-17;10;10;Valcam;Llay Llay;Tomate 18;;;35450;354500;354.500;;
San Jorge;BECTRA;Insecticidas;;;;;10;lts;02-11-17;9;1;Valcam ;Llay Llay;Tomate 18;;;35450;319050;35.450;;
San Jorge;BECTRA;Insecticidas;;15-11-17;9;;10;lts;16-11-17;10;0;Nelson Zamora;Olmu_;Tomate;;;19199;191990; - ;0;
San Jorge;Betanal;Herbicidas;;21-01-17;20;;20;lts;23-01-17;5;15;Valcam;Allende;Acelga 17;;;35450;177250;531.750;;
San Jorge;Betanal;Herbicidas;;;;;15;lts;30-01-17;0,2;14,8;Valcam;Allende;Acelga 17;;;35450;7090;524.660;;
San Jorge;Betanal;Herbicidas;;;;;14,8;lts;02-02-17;5;9,8;Rodrigo martinez;Pocochay;Acelga 17;;;35450;177250;347.410;;
San Jorge;Betanal;Herbicidas;;;;;9,8;lts;02-02-17;4,8;5;Valcam;Allende;Acelga 17;;;35450;170160;177.250;;
San Jorge;Betanal;Herbicidas;;;;;5;lts;04-02-17;0,7;4,3;Rodrigo martinez;Pocochay;Acelga 17;;;35450;24815;152.435;;
San Jorge;Betanal;Herbicidas;;;;;4,3;lts;07-02-17;2,75;1,55;Valcam;Allende;Acelga 17;;;35450;97487,5;54.948;;
San Jorge;Betanal;Herbicidas;;;;;1,55;lts;07-02-17;1,55;0;Rodrigo martinez;Pocochay;Acelga 17;;;35450;54947,5; - ;;
San Jorge;Betanal;Herbicidas;;21-02-17;5;;5;lts;21-02-17;5;0;Rodrigo martinez;Pocochay;Acelga 17;;;35450;177250; - ;;
San Jorge;Betanal;Herbicidas;;10-10-17;20;;20;lts;10-10-17;5;15;Ventura ;Catemu;Betarraga;;;33500;167500;502.500;;
San Jorge;Betanal;Herbicidas;;;;;15;lts;10-10-17;15;0;Valcam;Llay Llay;Bodega;;;33500;502500; - ;;
San Jorge;Betanal;Herbicidas;;16-10-17;2;;2;lts;16-10-17;2;0;Nelson Zamora;Olmu_;Espinaca;;;33500;67000; - ;;
San Jorge;Betanal;Herbicidas;;19-10-17;12;;12;lts;19-10-17;12;0;Valcam;Llay Llay;Betarraga 18;;;35200;422400; - ;;
San Jorge;Betanal;Herbicidas;;25-10-17;11;;11;lts;25-10-17;3;8;Nelson Zamora;Olmu_;Aj’ 17;;;35200;105600;281.600;;
San Jorge;Betanal;Herbicidas;;;;;8;lts;25-10-17;6;2;Ventura ;Catemu;Betarraga;;;35200;211200;70.400;;
San Jorge;Betanal;Herbicidas;;;;;2;lts;10-11-17;2;0;Nelson Zamora;Olmu_;Espinaca;;;35200;70400; - ;;
San Jorge;Betanal;Herbicidas;;15-11-17;10;;10;lts;15-11-17;6;4;Ventura ;Catemu;Betarraga;;;35200;211200;140.800;;
San Jorge;Betanal;Herbicidas;;;;;4;lts;15-11-17;4;0;Valcam ;Llay Llay;Betarraga 18;;;35200;140800; - ;0;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;98;lts;04-07-16;40;58;Valcam;Llay Llay;Apio 17;;;9330;373200;541.140;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;58;lts;02-07-16;20;38;Pedro Henriquez;Llay Llay;Apio 17;;;9330;186600;354.540;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;38;lts;04-07-16;5;33;Pedro Henriquez;Llay Llay;Apio 17;;;9330;46650;307.890;;
San Jorge;Bravo;Fungicidas;clorotalonilo;;;;33;lts;01-08-16;5;28;Pedro Henriquez;Llay Llay;Apio 17;;;9330;46650;261.240;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;;;;28;lts;11-07-16;28;0;Valcam;Catemu;Apio 16;;;9330;261240; - ;;
San Jorge;Bravo;Fungicidas;clorotalonilo ;16-08-16;Prest. Massai;;10;lts;16-08-16;10;0;Valcam Zamora;Allende;Apio 17;;;9330;93300; - ;;
San Jorge;Bravo;Fungicidas;clorotalonilo;17-08-16;Prest. Massai;;1;lts;17-08-16;1;0;Rodrigo martinez;Pocochay;Apio 17;;;9330;9330; - ;;
San Jorge;Bravo;Fungicidas;clorotalonilo;22-08-16;Prest. Massai;;6;lts;22-08-16;6;0;Gonzalo Gonzalez;San Pedro;Apio 17;;;9330;55980; - ;;
San Jorge;Bravo;Fungicidas;clorotalonilo;22-08-16;Prest. Massai;;1;lts;22-08-16;1;0;Valcam;San Jorge;Monarda;;;9330;9330; - ;;
